English word : French word : Frequency
abide , abide,respecter , 34 : 
about , about,sur , 387 : 
above , above,au dessus , 139 : 
abroad , abroad,à l'étranger , 43 : 
absence , absence,absence , 52 : 
abuse , abuse,abuser de , 42 : 
according , according,selon , 45 : 
account , account,Compte , 41 : 
accuse , accuse,accuser , 36 : 
acquainted , acquainted,connaissance , 38 : 
action , action,action , 101 : 
advantage , advantage,avantage , 68 : 
advice , advice,Conseil , 41 : 
affairs , affairs,affaires , 60 : 
affection , affection,affection , 64 : 
affections , affections,affections , 33 : 
afraid , afraid,peur , 35 : 
after , after,après , 391 : 
afterwards , afterwards,ensuite , 36 : 
again , again,encore , 626 : 
alive , alive,vivant , 77 : 
almost , almost,presque , 160 : 
alone , alone,seul , 204 : 
along , along,le long de , 100 : 
already , already,déjà , 129 : 
although , although,bien que , 77 : 
always , always,toujours , 61 : 
ambition , ambition,ambition , 37 : 
ancient , ancient,ancien , 75 : 
angel , angel,ange , 45 : 
anger , anger,colère , 49 : 
another , another,un autre , 402 : 
answer , answer,répondre , 355 : 
anything , anything,n'importe quoi , 95 : 
apparel , apparel,vêtements , 39 : 
appear , appear,apparaître , 122 : 
appears , appears,apparaît , 48 : 
approach , approach,approche , 67 : 
argument , argument,argument , 59 : 
ariel , ariel,Ariel , 75 : 
armour , armour,armure , 37 : 
aside , aside,de côté , 61 : 
asleep , asleep,endormi , 42 : 
assure , assure,assurer , 50 : 
athens , athens,Athènes , 64 : 
attend , attend,assister , 111 : 
attended , attended,assisté , 37 : 
authority , authority,autorité , 50 : 
avoid , avoid,éviter , 33 : 
awake , awake,éveillé , 62 : 
awhile , awhile,quelque temps , 86 : 
banish , banish,bannir , 36 : 
barren , barren,Dénudé , 38 : 
bassianus , bassianus,bassianus , 38 : 
bastard , bastard,Connard , 197 : 
battle , battle,bataille , 96 : 
beard , beard,barbe , 75 : 
bearing , bearing,palier , 68 : 
bears , bears,ours , 100 : 
beast , beast,la bête , 61 : 
beaten , beaten,battu , 41 : 
beauty , beauty,beauté , 185 : 
because , because,car , 186 : 
become , become,devenir , 137 : 
bedford , bedford,Bedford , 47 : 
before , before,avant , 801 : 
beggar , beggar,mendiant , 53 : 
begin , begin,commencer , 105 : 
behalf , behalf,nom , 39 : 
behind , behind,derrière , 108 : 
behold , behold,voir , 150 : 
being , being,étant , 655 : 
believe , believe,croyez , 225 : 
belike , belike,être comme , 39 : 
below , below,au dessous de , 50 : 
benefit , benefit,avantage , 35 : 
besides , besides,outre , 106 : 
betray , betray,trahir , 37 : 
better , better,mieux , 569 : 
between , between,entre , 234 : 
beyond , beyond,au-delà , 59 : 
birth , birth,naissance , 75 : 
bishop , bishop,évêque , 43 : 
bitter , bitter,amer , 71 : 
black , black,noir , 154 : 
blame , blame,faire des reproches , 79 : 
bless , bless,bénir , 104 : 
blessing , blessing,bénédiction , 41 : 
blest , blest,heureux , 47 : 
blind , blind,aveugle , 76 : 
blood , blood,du sang , 568 : 
blows , blows,coups , 64 : 
blunt , blunt,cru , 62 : 
blush , blush,rougir , 44 : 
bodies , bodies,corps , 40 : 
bones , bones,des os , 66 : 
borne , borne,supporté , 74 : 
bottom , bottom,bas , 95 : 
bought , bought,acheté , 48 : 
bound , bound,lié , 159 : 
bounty , bounty,prime , 38 : 
brain , brain,cerveau , 69 : 
brains , brains,cerveaux , 37 : 
brave , brave,courageux , 155 : 
breast , breast,Sein , 80 : 
breath , breath,souffle , 182 : 
breed , breed,race , 47 : 
brief , brief,bref , 79 : 
bright , bright,brillant , 65 : 
bring , bring,apporter , 441 : 
broke , broke,cassé , 82 : 
brook , brook,ruisseau , 66 : 
brother , brother,frère , 486 : 
brought , brought,apporté , 195 : 
brows , brows,sourcils , 39 : 
burden , burden,fardeau , 41 : 
buried , buried,enterré , 53 : 
burning , burning,brûlant , 42 : 
business , business,Entreprise , 204 : 
cannot , cannot,ne peux pas , 758 : 
capitol , capitol,Capitole , 33 : 
captain , captain,capitaine , 154 : 
cardinal , cardinal,cardinal , 125 : 
cares , cares,se soucie , 34 : 
carry , carry,porter , 85 : 
castle , castle,Château , 96 : 
catch , catch,capture , 66 : 
cause , cause,cause , 301 : 
cease , cease,cesser , 41 : 
certain , certain,certain , 161 : 
chain , chain,chaîne , 51 : 
chair , chair,chaise , 34 : 
challenge , challenge,défi , 43 : 
chamber , chamber,chambre , 96 : 
chance , chance,chance , 99 : 
change , change,changement , 139 : 
charge , charge,charge , 178 : 
charity , charity,charité , 46 : 
chaste , chaste,chaste , 34 : 
cheek , cheek,joue , 62 : 
cheer , cheer,acclamation , 62 : 
chide , chide,gronder , 48 : 
chief , chief,chef , 107 : 
child , child,enfant , 190 : 
choice , choice,choix , 58 : 
church , church,église , 51 : 
cinna , cinna,cinna , 35 : 
citizen , citizen,citoyenne , 186 : 
civil , civil,civil , 48 : 
claim , claim,prétendre , 58 : 
clarence , clarence,clarté , 180 : 
claud , claud,claud , 125 : 
claudio , claudio,Claudio , 148 : 
clear , clear,clair , 57 : 
clifford , clifford,Clifford , 123 : 
close , close,proche , 90 : 
cloten , cloten,cailloter , 103 : 
clothes , clothes,vêtements , 33 : 
clouds , clouds,des nuages , 58 : 
clown , clown,pitre , 347 : 
college , college,Université , 224 : 
colour , colour,Couleur , 65 : 
comes , comes,vient , 586 : 
comfort , comfort,confort , 168 : 
coming , coming,venir , 128 : 
cominius , cominius,cominius , 101 : 
command , command,commander , 156 : 
commanded , commanded,commandé , 38 : 
commend , commend,saluer , 86 : 
commercial , commercial,commercial , 221 : 
commission , commission,commission , 39 : 
commit , commit,commettre , 38 : 
common , common,commun , 147 : 
companion , companion,un compagnon , 33 : 
company , company,entreprise , 166 : 
complete , complete,Achevée , 244 : 
complexion , complexion,complexion , 35 : 
condition , condition,état , 49 : 
conduct , conduct,conduite , 47 : 
confess , confess,avouer , 117 : 
conscience , conscience,conscience , 111 : 
consent , consent,consentement , 88 : 
consider , consider,considérer , 46 : 
constable , constable,gendarme , 76 : 
constant , constant,constant , 47 : 
contempt , contempt,mépris , 38 : 
content , content,contenu , 139 : 
contrary , contrary,contraire , 38 : 
copies , copies,copies , 446 : 
copyright , copyright,droits d'auteur , 228 : 
could , could,pourrait , 619 : 
council , council,conseil , 42 : 
counsel , counsel,Conseil , 113 : 
count , count,compter , 97 : 
counterfeit , counterfeit,contrefaire , 43 : 
countess , countess,comtesse , 120 : 
country , country,pays , 125 : 
courage , courage,courage , 58 : 
course , course,cours , 147 : 
court , court,tribunal , 205 : 
courtesy , courtesy,courtoisie , 52 : 
cousin , cousin,cousin , 221 : 
coward , coward,lâche , 72 : 
crave , crave,demander , 41 : 
creature , creature,créature , 59 : 
credit , credit,crédit , 48 : 
cromwell , cromwell,Cromwell , 41 : 
cross , cross,traverser , 58 : 
crown , crown,couronne , 217 : 
cruel , cruel,cruel , 65 : 
cunning , cunning,ruse , 73 : 
cupid , cupid,Cupidon , 35 : 
curse , curse,malédiction , 92 : 
custom , custom,Douane , 39 : 
dagger , dagger,dague , 39 : 
damned , damned,damné , 44 : 
dance , dance,Danse , 57 : 
danger , danger,danger , 90 : 
darkness , darkness,obscurité , 36 : 
daughter , daughter,fille , 338 : 
deadly , deadly,mortel , 47 : 
dearest , dearest,très cher , 54 : 
dearly , dearly,chèrement , 39 : 
death , death,décès , 731 : 
deeds , deeds,actes , 107 : 
defend , defend,défendre , 65 : 
degree , degree,diplôme , 38 : 
delight , delight,délice , 51 : 
deliver , deliver,livrer , 95 : 
demand , demand,demande , 54 : 
denied , denied,refusé , 51 : 
depart , depart,partir , 57 : 
desert , desert,désert , 37 : 
deserve , deserve,mériter , 62 : 
desire , desire,le désir , 202 : 
despair , despair,désespoir , 40 : 
desperate , desperate,désespéré , 45 : 
despite , despite,malgré , 50 : 
device , device,dispositif , 33 : 
devil , devil,diable , 189 : 
devise , devise,concevoir , 46 : 
didst , didst,didst , 183 : 
dinner , dinner,dîner , 69 : 
discourse , discourse,discours , 55 : 
discover , discover,découvrir , 35 : 
disgrace , disgrace,disgrâce , 44 : 
dishonour , dishonour,déshonorer , 37 : 
dispatch , dispatch,envoi , 63 : 
displeasure , displeasure,mécontentement , 39 : 
disposition , disposition,disposition , 41 : 
distributed , distributed,distribué , 443 : 
divine , divine,Divin , 43 : 
doctor , doctor,docteur , 98 : 
doing , doing,Faire , 68 : 
dolabella , dolabella,Dolabella , 37 : 
doors , doors,des portes , 58 : 
double , double,double , 80 : 
doubt , doubt,doute , 158 : 
download , download,Télécharger , 221 : 
dramatis , dramatis,dramatis , 36 : 
drawn , drawn,tiré , 76 : 
dread , dread,crainte , 46 : 
dreadful , dreadful,horrible , 59 : 
dream , dream,rêver , 104 : 
dreams , dreams,rêves , 42 : 
drink , drink,boisson , 145 : 
drops , drops,gouttes , 49 : 
drown , drown,noyer , 42 : 
drums , drums,tambours , 32 : 
drunk , drunk,ivre , 58 : 
duncan , duncan,Duncan , 36 : 
durst , durst,durst , 50 : 
dwell , dwell,habiter , 36 : 
dying , dying,en train de mourir , 45 : 
early , early,de bonne heure , 45 : 
earth , earth,Terre , 266 : 
edmund , edmund,Edmund , 52 : 
effect , effect,effet , 60 : 
egypt , egypt,Egypte , 37 : 
either , either,Soit , 162 : 
elbow , elbow,coude , 44 : 
elder , elder,aîné , 37 : 
embrace , embrace,embrasse , 60 : 
emilia , emilia,Émilie , 145 : 
emperor , emperor,empereur , 78 : 
empty , empty,vide , 44 : 
encounter , encounter,rencontre , 50 : 
endure , endure,supporter , 75 : 
enemies , enemies,ennemis , 82 : 
enemy , enemy,ennemi , 136 : 
enjoy , enjoy,prendre plaisir , 44 : 
enobarbus , enobarbus,énobarbus , 144 : 
enough , enough,assez , 274 : 
enter , enter,entrer , 2079 : 
entertain , entertain,divertir , 38 : 
entertainment , entertainment,divertissement , 36 : 
entreat , entreat,supplier , 105 : 
equal , equal,égal , 44 : 
estate , estate,biens , 45 : 
